gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue
2.513625694e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/264263363,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.034538,166.619263,10,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,264263363,Saryu Mae,2025-03-07T11:10:17Z,CC_BY_NC_4_0,Saryu Mae,Saryu Mae,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.513706565e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/264488422,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.023375,166.610873,10,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,264488422,Saryu Mae,2025-03-08T09:26:17Z,CC_BY_NC_4_0,Saryu Mae,Saryu Mae,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6.212460847e-315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://naturewatch.org.nz/observations/2759831,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.718257,170.595875,741,9,3,2016,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,2759831,John Barkla,2016-03-09T01:30:16Z,CC0_1_0,John Barkla,John Barkla,2025-07-04T13:52:37Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
9.61185752e-315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/18532307,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.023353,166.610251,101,10,1,2018,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,18532307,Ellen Rykers,2018-11-21T06:39:37Z,CC0_1_0,Ellen Rykers,Ellen Rykers,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1.5157955304e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/72052177,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.023618,166.611012,30,24,12,2020,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,72052177,Alex Fergus,2021-03-25T23:31:04Z,CC_BY_NC_4_0,Alex Fergus,Alex Fergus,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.1891886017e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/187178110,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Otago,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-45.866029,170.743153,50,23,2,2020,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,187178110,dougiewainwright,2023-10-11T22:59:44Z,CC_BY_NC_4_0,dougiewainwright,dougiewainwright,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.474336257e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/257665645,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.02961,166.614377,61,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,257665645,Julia Palmer,2025-01-07T03:41:57Z,CC_BY_4_0,Julia Palmer,Julia Palmer,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.4739515713e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/257665653,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.028792,166.614656,31,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,257665653,Julia Palmer,2025-01-07T03:41:59Z,CC_BY_4_0,Julia Palmer,Julia Palmer,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.474366177e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/257665602,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.03314,166.613776,61,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,257665602,Julia Palmer,2025-01-07T03:41:44Z,CC_BY_4_0,Julia Palmer,Julia Palmer,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.47367179e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/257665764,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.033375,166.613526,15,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,257665764,Julia Palmer,2025-01-07T03:42:30Z,CC_BY_4_0,Julia Palmer,Julia Palmer,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1.9904792704e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/147819451,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.023817,166.6099,NA,1,2,2023,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,147819451,whale_nerd,2023-02-01T09:45:11Z,CC_BY_NC_4_0,whale_nerd,whale_nerd,2025-07-04T13:52:37Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.5136064164e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/264548714,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.01646,166.607317,10,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,264548714,Saryu Mae,2025-03-08T19:16:36Z,CC_BY_NC_4_0,Saryu Mae,Saryu Mae,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.488720142e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/258422086,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.023579,166.610689,5,10,1,2025,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,258422086,Nigel Forshaw,2025-01-14T00:56:48Z,CC_BY_NC_4_0,Nigel Forshaw,Nigel Forshaw,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1.50168586e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/69393953,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.019327,166.610773,31,24,12,2018,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,69393953,Ben Weatherley,2021-02-11T02:34:34Z,CC_BY_NC_4_0,Ben Weatherley,Ben Weatherley,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.228269482e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/195633803,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.017394,166.605967,38,7,12,2023,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,195633803,Genevieve Early,2024-01-03T04:24:16Z,CC_BY_4_0,Genevieve Early,Genevieve Early,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2.5136550947e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/264488418,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.023828,166.611715,10,30,12,2024,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,264488418,Saryu Mae,2025-03-08T09:26:15Z,CC_BY_NC_4_0,Saryu Mae,Saryu Mae,2025-07-04T13:52:37Z,StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6.379141605e-315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://naturewatch.org.nz/observations/3760784,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes robustus,SPECIES,"Eudyptes robustus Oliver, 1953",Eudyptes robustus,NZ,,Southland,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-48.021405,166.606057,31,10,10,2003,2481644,2481644,HUMAN_OBSERVATION,iNaturalist,Observations,3760784,Dave Houston,2016-07-28T20:19:51Z,CC_BY_NC_4_0,Dave Houston,Dave Houston,2025-07-04T13:52:37Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
